timestamp,country,city,station_type,temperature,humidity,wind_speed,precipitation,pm2.5,pm10,no2,co,o3,so2,aqi,aqi_category,hour,day_of_week,month,season,pm_ratio,pollution_index,is_weekend,is_rush_hour
2020-01-01 00:00:00,Belgium,Bruges,Industrial,20.22,33.85,5.42,1.23,38.38,53.33,30.49,0.418,53.27,10.7,109.67,Unhealthy_for_Sensitive,0.0,2.0,1.0,1.0,0.7196699793723614,40.733333333333334,0,0
2020-01-01 01:00:00,France,Toulouse,Rural,18.09,34.29,7.61,0.0,18.39,25.05,24.59,0.426,43.2,0.76,61.48,Moderate,1.0,2.0,1.0,1.0,0.7341317365240155,22.676666666666666,0,0
2020-01-01 02:00:00,Italy,Turin,Rural,14.78,41.11,5.79,5.95,29.44,42.04,31.27,0.402,70.26,4.96,84.12,Moderate,2.0,2.0,1.0,1.0,0.7002854424341097,34.25,0,0
2020-01-01 04:00:00,France,Marseille,Industrial,19.8,40.86,2.92,0.0,32.03,36.87,24.11,0.554,41.81,11.43,91.52,Moderate,4.0,2.0,1.0,1.0,0.8687279631112864,31.003333333333334,0,0
2020-01-01 05:00:00,Portugal,Braga,Urban_Background,24.02,24.92,23.8,0.74,35.21,41.11,39.53,0.422,46.76,4.77,100.6,Unhealthy_for_Sensitive,5.0,2.0,1.0,1.0,0.8564826076359608,38.61666666666667,0,0
2020-01-01 06:00:00,Italy,Rome,Industrial,24.98,43.38,41.98,0.0,12.1,7.06,13.12,0.109,42.72,9.34,46.7,Good,6.0,2.0,1.0,1.0,1.7138810198057524,10.76,0,0
2020-01-01 07:00:00,Spain,Madrid,Suburban,19.29,47.05,17.89,0.0,25.17,33.07,20.65,0.384,64.99,4.37,71.92,Moderate,7.0,2.0,1.0,1.0,0.7611127910469879,26.296666666666667,0,1
2020-01-01 08:00:00,Portugal,Braga,Rural,21.12,37.44,21.8,0.87,20.49,20.06,26.5,0.237,85.98,1.71,85.98,Moderate,8.0,2.0,6.0,1.0,1.0214356929161446,22.349999999999998,0,1
2020-01-01 09:00:00,Austria,Graz,Suburban,22.07,42.15,1.18,0.0,34.52,55.72,25.51,0.572,50.96,12.39,111.44,Unhealthy_for_Sensitive,9.0,2.0,1.0,1.0,0.6195262024396635,38.583333333333336,0,1
2020-01-01 10:00:00,Netherlands,The Hague,Industrial,23.69,25.74,17.7,0.0,33.86,65.98,37.5,0.322,48.42,12.18,131.96,Unhealthy_for_Sensitive,10.0,2.0,1.0,1.0,0.513185813882217,45.78,0,0
